category,dog,cat,other,type,month,year,date
euthanasia request,45,8,2,intakes,November,2020,2020-11
returns,1,0,0,intakes,November,2020,2020-11
quarantine,1,0,0,intakes,November,2020,2020-11
adoption,26,41,4,outcomes,November,2020,2020-11
strays returned to owner,67,11,0,outcomes,November,2020,2020-11
other returned to owner,6,0,0,outcomes,November,2020,2020-11
transfer,166,181,24,outcomes,November,2020,2020-11
euthanasia by request,39,6,2,outcomes,November,2020,2020-11
other euthanasia,15,18,47,outcomes,November,2020,2020-11
died in care,0,5,4,outcomes,November,2020,2020-11
dead on arrival,38,14,15,outcomes,November,2020,2020-11
stray,355,316,10,intakes,November,2021,2021-11
owner surrender,38,42,7,intakes,November,2021,2021-11
confiscate,11,4,2,intakes,November,2021,2021-11
wildlife,0,0,38,intakes,November,2021,2021-11
disposal request,22,11,9,intakes,November,2021,2021-11
euthanasia request,53,21,3,intakes,November,2021,2021-11
returns,3,3,0,intakes,November,2021,2021-11
quarantine,5,0,0,intakes,November,2021,2021-11
adoption,41,67,3,outcomes,November,2021,2021-11
strays returned to owner,84,8,0,outcomes,November,2021,2021-11
other returned to owner,7,2,2,outcomes,November,2021,2021-11
transfer,203,264,32,outcomes,November,2021,2021-11
euthanasia by request,44,12,3,outcomes,November,2021,2021-11
other euthanasia,59,22,17,outcomes,November,2021,2021-11
died in care,2,9,1,outcomes,November,2021,2021-11
dead on arrival,22,19,16,outcomes,November,2021,2021-11
missing,0,1,0,outcomes,November,2021,2021-11
stray,351,335,7,intakes,October,2015,2015-10
owner surrender,240,176,10,intakes,October,2015,2015-10
confiscate,57,7,4,intakes,October,2015,2015-10
wildlife,0,0,108,intakes,October,2015,2015-10
disposal request,52,19,3,intakes,October,2015,2015-10
euthanasia request,53,14,1,intakes,October,2015,2015-10
returns,2,0,0,intakes,October,2015,2015-10
adoption,41,60,0,outcomes,October,2015,2015-10
returned to owner,81,14,0,outcomes,October,2015,2015-10
transfer,245,381,40,outcomes,October,2015,2015-10
euthanasia by request,47,14,1,outcomes,October,2015,2015-10
other euthanasia,251,81,57,outcomes,October,2015,2015-10
died in care,4,16,5,outcomes,October,2015,2015-10
dead on arrival,57,30,29,outcomes,October,2015,2015-10
stray,349,322,4,intakes,October,2016,2016-10
owner surrender,299,141,57,intakes,October,2016,2016-10
confiscate,36,9,1,intakes,October,2016,2016-10
wildlife,0,0,108,intakes,October,2016,2016-10
disposal request,33,24,6,intakes,October,2016,2016-10
euthanasia request,57,13,0,intakes,October,2016,2016-10
returns,3,1,0,intakes,October,2016,2016-10
adoption,53,54,0,outcomes,October,2016,2016-10
returned to owner,102,11,0,outcomes,October,2016,2016-10
transfer,335,275,78,outcomes,October,2016,2016-10
euthanasia by request,55,10,0,outcomes,October,2016,2016-10
other euthanasia,165,150,61,outcomes,October,2016,2016-10
died in care,5,18,6,outcomes,October,2016,2016-10
dead on arrival,35,28,23,outcomes,October,2016,2016-10
stray,256,247,7,intakes,October,2017,2017-10
owner surrender,183,167,15,intakes,October,2017,2017-10
confiscate,65,10,1,intakes,October,2017,2017-10
wildlife,0,0,113,intakes,October,2017,2017-10
disposal request,41,24,8,intakes,October,2017,2017-10
euthanasia request,54,24,1,intakes,October,2017,2017-10
returns,6,4,0,intakes,October,2017,2017-10
adoption,71,182,0,outcomes,October,2017,2017-10
returned to owner,107,12,0,outcomes,October,2017,2017-10
transfer,272,243,46,outcomes,October,2017,2017-10
euthanasia by request,43,22,1,outcomes,October,2017,2017-10
other euthanasia,38,46,72,outcomes,October,2017,2017-10
died in care,1,9,4,outcomes,October,2017,2017-10
dead on arrival,46,30,25,outcomes,October,2017,2017-10
missing,0,1,0,outcomes,October,2017,2017-10
stray,311,371,10,intakes,October,2018,2018-10
owner surrender,182,195,8,intakes,October,2018,2018-10
confiscate,39,13,2,intakes,October,2018,2018-10
wildlife,0,0,105,intakes,October,2018,2018-10
disposal request,40,19,7,intakes,October,2018,2018-10
euthanasia request,70,9,0,intakes,October,2018,2018-10
returns,5,4,0,intakes,October,2018,2018-10
quarantine,15,1,0,intakes,October,2018,2018-10
adoption,78,110,0,outcomes,October,2018,2018-10
strays returned to owner,78,8,0,outcomes,October,2018,2018-10
other returned to owner,39,5,1,outcomes,October,2018,2018-10
transfer,300,462,39,outcomes,October,2018,2018-10
euthanasia by request,62,9,0,outcomes,October,2018,2018-10
other euthanasia,46,36,60,outcomes,October,2018,2018-10
died in care,2,16,3,outcomes,October,2018,2018-10
dead on arrival,41,23,25,outcomes,October,2018,2018-10
missing,0,1,0,outcomes,October,2018,2018-10
stray,353,470,14,intakes,October,2019,2019-10
owner surrender,243,211,23,intakes,October,2019,2019-10
confiscate,51,11,2,intakes,October,2019,2019-10
wildlife,0,0,121,intakes,October,2019,2019-10
disposal request,29,24,8,intakes,October,2019,2019-10
euthanasia request,79,17,0,intakes,October,2019,2019-10
returns,5,10,0,intakes,October,2019,2019-10
quarantine,12,0,0,intakes,October,2019,2019-10
adoption,159,249,1,outcomes,October,2019,2019-10
strays returned to owner,85,7,0,outcomes,October,2019,2019-10
other returned to owner,37,6,1,outcomes,October,2019,2019-10
transfer,313,408,81,outcomes,October,2019,2019-10
euthanasia by request,73,16,0,outcomes,October,2019,2019-10
other euthanasia,71,52,68,outcomes,October,2019,2019-10
died in care,5,11,4,outcomes,October,2019,2019-10
dead on arrival,41,37,19,outcomes,October,2019,2019-10
stray,216,269,13,intakes,October,2020,2020-10
owner surrender,77,99,17,intakes,October,2020,2020-10
confiscate,9,4,0,intakes,October,2020,2020-10
wildlife,0,0,96,intakes,October,2020,2020-10
disposal request,33,16,5,intakes,October,2020,2020-10
euthanasia request,55,6,0,intakes,October,2020,2020-10
returns,1,2,0,intakes,October,2020,2020-10
quarantine,4,0,0,intakes,October,2020,2020-10
adoption,33,34,2,outcomes,October,2020,2020-10
strays returned to owner,64,5,0,outcomes,October,2020,2020-10
other returned to owner,7,1,0,outcomes,October,2020,2020-10
transfer,193,276,52,outcomes,October,2020,2020-10
euthanasia by request,45,3,0,outcomes,October,2020,2020-10
other euthanasia,17,25,51,outcomes,October,2020,2020-10
died in care,3,5,12,outcomes,October,2020,2020-10
dead on arrival,30,25,10,outcomes,October,2020,2020-10
stray,331,401,16,intakes,October,2021,2021-10
owner surrender,39,57,7,intakes,October,2021,2021-10
confiscate,23,12,1,intakes,October,2021,2021-10
wildlife,0,0,91,intakes,October,2021,2021-10
disposal request,22,15,6,intakes,October,2021,2021-10
euthanasia request,70,13,5,intakes,October,2021,2021-10
returns,1,0,0,intakes,October,2021,2021-10
quarantine,1,0,0,intakes,October,2021,2021-10
adoption,48,47,0,outcomes,October,2021,2021-10
strays returned to owner,90,8,0,outcomes,October,2021,2021-10
other returned to owner,14,0,0,outcomes,October,2021,2021-10
transfer,212,350,33,outcomes,October,2021,2021-10
euthanasia by request,61,11,5,outcomes,October,2021,2021-10
other euthanasia,36,44,57,outcomes,October,2021,2021-10
died in care,3,9,6,outcomes,October,2021,2021-10
dead on arrival,21,26,15,outcomes,October,2021,2021-10
stray,319,468,11,intakes,September,2015,2015-09
owner surrender,233,266,6,intakes,September,2015,2015-09
confiscate,84,11,0,intakes,September,2015,2015-09
wildlife,0,0,156,intakes,September,2015,2015-09
disposal request,51,19,2,intakes,September,2015,2015-09
euthanasia request,39,15,1,intakes,September,2015,2015-09
returns,2,4,0,intakes,September,2015,2015-09
adoption,41,47,0,outcomes,September,2015,2015-09
returned to owner,93,7,3,outcomes,September,2015,2015-09
transfer,243,442,36,outcomes,September,2015,2015-09
euthanasia by request,37,14,1,outcomes,September,2015,2015-09
other euthanasia,245,192,96,outcomes,September,2015,2015-09
died in care,6,11,2,outcomes,September,2015,2015-09
dead on arrival,55,29,34,outcomes,September,2015,2015-09
stray,280,413,7,intakes,September,2016,2016-09
owner surrender,253,179,15,intakes,September,2016,2016-09
confiscate,44,25,1,intakes,September,2016,2016-09
wildlife,0,0,155,intakes,September,2016,2016-09
disposal request,35,24,3,intakes,September,2016,2016-09
euthanasia request,51,7,0,intakes,September,2016,2016-09
returns,2,1,0,intakes,September,2016,2016-09
adoption,29,39,0,outcomes,September,2016,2016-09
returned to owner,101,9,0,outcomes,September,2016,2016-09
transfer,293,427,72,outcomes,September,2016,2016-09
euthanasia by request,49,7,0,outcomes,September,2016,2016-09
other euthanasia,158,78,78,outcomes,September,2016,2016-09
died in care,3,18,11,outcomes,September,2016,2016-09
dead on arrival,46,24,24,outcomes,September,2016,2016-09
stray,250,320,9,intakes,September,2017,2017-09
owner surrender,154,171,11,intakes,September,2017,2017-09
confiscate,41,8,1,intakes,September,2017,2017-09
wildlife,0,0,160,intakes,September,2017,2017-09
disposal request,49,35,8,intakes,September,2017,2017-09
euthanasia request,65,12,2,intakes,September,2017,2017-09
returns,6,0,0,intakes,September,2017,2017-09
adoption,73,81,0,outcomes,September,2017,2017-09
returned to owner,96,9,1,outcomes,September,2017,2017-09
transfer,244,299,79,outcomes,September,2017,2017-09
euthanasia by request,59,11,2,outcomes,September,2017,2017-09
other euthanasia,34,69,76,outcomes,September,2017,2017-09
died in care,3,17,5,outcomes,September,2017,2017-09
dead on arrival,48,37,30,outcomes,September,2017,2017-09
0,1,0,1,outcomes,September,2017,2017-09
557,524,193,1274,outcomes,September,2017,2017-09
stray,291,472,3,intakes,September,2018,2018-09
owner surrender,184,191,11,intakes,September,2018,2018-09
confiscate,33,8,0,intakes,September,2018,2018-09
wildlife,0,0,149,intakes,September,2018,2018-09
disposal request,47,19,2,intakes,September,2018,2018-09
euthanasia request,90,22,0,intakes,September,2018,2018-09
returns,3,1,0,intakes,September,2018,2018-09
quarantine,10,0,0,intakes,September,2018,2018-09
adoption,75,78,0,outcomes,September,2018,2018-09
strays returned to owner,81,10,0,outcomes,September,2018,2018-09
other returned to owner,26,8,0,outcomes,September,2018,2018-09
transfer,332,446,56,outcomes,September,2018,2018-09
euthanasia by request,84,17,0,outcomes,September,2018,2018-09
other euthanasia,63,65,85,outcomes,September,2018,2018-09
died in care,1,28,7,outcomes,September,2018,2018-09
dead on arrival,47,26,24,outcomes,September,2018,2018-09
stray,367,506,10,intakes,September,2019,2019-09
owner surrender,218,216,23,intakes,September,2019,2019-09
confiscate,29,20,2,intakes,September,2019,2019-09
wildlife,0,0,136,intakes,September,2019,2019-09
disposal request,44,19,2,intakes,September,2019,2019-09
euthanasia request,72,15,0,intakes,September,2019,2019-09
returns,9,2,0,intakes,September,2019,2019-09
quarantine,8,0,0,intakes,September,2019,2019-09
adoption,129,187,0,outcomes,September,2019,2019-09
strays returned to owner,85,11,0,outcomes,September,2019,2019-09
other returned to owner,22,8,0,outcomes,September,2019,2019-09
transfer,331,484,66,outcomes,September,2019,2019-09
euthanasia by request,69,14,0,outcomes,September,2019,2019-09
other euthanasia,37,78,72,outcomes,September,2019,2019-09
died in care,4,16,9,outcomes,September,2019,2019-09
dead on arrival,45,24,23,outcomes,September,2019,2019-09
stray,217,370,8,intakes,September,2020,2020-09
owner surrender,34,92,5,intakes,September,2020,2020-09
confiscate,30,7,1,intakes,September,2020,2020-09
wildlife,0,0,158,intakes,September,2020,2020-09
disposal request,37,13,5,intakes,September,2020,2020-09
euthanasia request,54,10,3,intakes,September,2020,2020-09
returns,6,0,0,intakes,September,2020,2020-09
quarantine,2,0,0,intakes,September,2020,2020-09
adoption,26,50,0,outcomes,September,2020,2020-09
strays returned to owner,59,2,0,outcomes,September,2020,2020-09
other returned to owner,11,5,0,outcomes,September,2020,2020-09
transfer,174,380,75,outcomes,September,2020,2020-09
euthanasia by request,42,10,3,outcomes,September,2020,2020-09
other euthanasia,14,46,67,outcomes,September,2020,2020-09
died in care,3,7,14,outcomes,September,2020,2020-09
dead on arrival,40,18,17,outcomes,September,2020,2020-09
relocate,0,0,3,outcomes,September,2020,2020-09
stray,289,410,13,intakes,September,2021,2021-09
owner surrender,32,44,5,intakes,September,2021,2021-09
confiscate,22,11,0,intakes,September,2021,2021-09
wildlife,0,0,141,intakes,September,2021,2021-09
disposal request,33,14,4,intakes,September,2021,2021-09
euthanasia request,81,12,0,intakes,September,2021,2021-09
returns,2,4,0,intakes,September,2021,2021-09
adoption,61,39,7,outcomes,September,2021,2021-09
strays returned to owner,76,10,0,outcomes,September,2021,2021-09
other returned to owner,12,4,0,outcomes,September,2021,2021-09
transfer,195,321,65,outcomes,September,2021,2021-09
euthanasia by request,65,11,0,outcomes,September,2021,2021-09
other euthanasia,33,36,69,outcomes,September,2021,2021-09
died in care,3,7,7,outcomes,September,2021,2021-09
dead on arrival,38,14,16,outcomes,September,2021,2021-09
